,lead_paragraph,headline,uplifting
451,"Barcelona dropped its first home points of the season when it tied Villarreal, 1-1, opening the way for Real Madrid to take over first place in La Liga.",SPORTS BRIEFING | SOCCER,0
452,"GIVE credit to the first guy to light up a cigarette inside GoldBar on a recent Saturday night: at least he was pretending to be discreet. Between puffs, the smoker, a 30-something man with a tight T-shirt, a gold watch and a gym membership, slyly obscured his cigarette behind the knee-high table that held his $400 bottle of Belvedere, assorted mixers and a pack of Parliaments. In turn, the cocktail waitresses flanking the room -- who, at 12:30 a.m., still outnumbered the patrons -- pretended not to notice.",Blowing Smoke At a Ban,0
453,"WHEN you think of Akira Kurosawa, you think, most likely, of swords and flags, of castles under siege, of men in dark armor and women in brilliant kimonos, of horses galloping to battle in driving rain. The movie that brought Kurosawa -- and Japanese cinema as a whole -- to the attention of the world, ''Rashomon'' (1950), was set in the distant past, and practically all the most celebrated films of the remaining 40-plus years of his career were historical dramas, too: ''The Seven Samurai'' (1954), ''Throne of Blood'' (1957), ''Yojimbo'' (1961), ''Sanjuro'' (1962) and ''Ran'' (1985). So it might seem a little strange that Film Forum's centennial Kurosawa retrospective should begin (on Wednesday) with a nine-day run of the 1949 urban noir ''Stray Dog,'' in which there isn't a horse or a castle in sight, and where the weapon of choice is a Colt pistol. It shouldn't. Of the 30 movies Kurosawa directed, better than half tell stories of present-day Japan, and a fair number of them, including ''Stray Dog,'' rank with his greatest works. ''Stray Dog,'' his ninth film, is a kind of police-procedural thriller, in which a young Tokyo homicide detective named Murakami (Toshiro Mifune) roams the crowded streets of the postwar city in search of his stolen gun. At first he merely feels humiliated, but before long much more painful emotions take hold. He learns, to his horror, that his gun is being used to commit robberies: one woman is seriously injured; the next dies. Murakami, crazed with grief and guilt, combs the seedier quarters of the sprawling city, where everybody looks hungry and desperate, wearied by an unrelenting summer heat. He trudges through this unwelcoming terrain with the grim persistence of a soldier making his way home after a lost campaign.",Kurosawa: Past and Present Tense,0
454,"STRAUS--Alan G.,died on December 24. See obit at nytimes.com. Funeral service to be held at St. Luke's, 487 Hudson Street, NYC at 4:30pm on Monday, January 4.","Paid Notice: Deaths  STRAUS, ALAN G.",0
455,"VAN DOREN--Marie Antoinette, died of cancer December 30 in New York City. She is survived by her husband Peter and brothers Jean and Jacques Cornet and sister Helene Clarke. Manie was a 1951 graduate of the Sacred Heart School at Noroton and spent much of her working life in fashion, including two years as a volunteer at the Costume Department of the Smithsonian. From 1988-2000 she was the President of The Woman's Exchange in Manhattan. A memorial Mass will be said at St. Vincent Ferrer at 3pm Thursday, January 21.","Paid Notice: Deaths  VAN DOREN, MARIE ANTOINETTE",0
456,"Mayor Richard M. Daley's neutrality in the coming Democratic primary for Cook County Board president has created a free-for-all campaign, with no clear favorite yet to emerge from the four candidates vying to oversee the county's $3 billion annual budget and 25,000 employees. The mayor has cut off support for the incumbent, Todd H. Stroger, ending the mutually beneficial, generations-long alliance between his family and arguably the most significant black dynasty in the local political machine.","With Mayor Sitting Out, Race for County Head Is Open",0
457,"LASKER--Hon. Morris E. The judges of the United States District Court for the Southern District of New York are deeply saddened by the death of our colleague, and extend our sympathy to his family. Loretta A. Preska, Chief Judge","Paid Notice: Deaths  LASKER, HON",0
458,"The Tweed-New Haven Regional Airport is not regarded as much of a factor in relieving congestion in regional air traffic. It is used by just one commercial airline -- US Airways Express -- and oversees a handful of daily flights to only one city, Philadelphia. (In Philadelphia, connections can be made to the rest of the country.) Tweed, which straddles New Haven and East Haven, is an hour-and-a-half drive from New York City, a fact that may discourage many potential passengers. Just 66,000 passengers passed through Tweed in the year ending in August.",Tweed-New Haven Regional Airport,0
459,"DVDS were introduced in 1997 in the United States but didn't really take off until a few years later, when the price of players dropped low enough to make them affordable for a large number of consumers. The same thing seems to be happening now with Blu-ray, which was introduced in 2006 but has only become widely affordable in the last year or so, as the price of players has dropped from the $900 range to something on a par with a midrange DVD unit: $200 to $300 for a quite acceptable player, with budget ones available for as little as $90. And while DVD sales declined by some $1 billion in 2009 from the previous year, sales of Blu-ray discs, according to data from the Digital Entertainment Group, rose by $200 million, partially offsetting the industry downturn. Does that mean that the DVD decade is over, and the era of Blu-ray is about to begin? Although it would satisfy our primal human need to divide experience into tidy 10-year slices, it is probably premature to say.",The Ballad of Blu-ray And Scratchy Old Film,0
462,"Alexandra Anneke Asjes and Jonathan Lynch Dudkowski were married on New Year's Eve in San Francisco. Mark S. Fox, a Universal Life minister, officiated at a Quaker-style ceremony at the Palace Hotel. Ms. Asjes, 31, who is keeping her name, is a segment producer in Los Angeles on ''Pranked,'' a show on MTV. She is also an actress who has appeared in 2007 in a London production of ''A Patch of Blue,'' at the King's Head Theater. She graduated from Georgetown and received a master's degree in text and performance studies from the Royal Academy of Dramatic Art in London.","Alexandra Asjes, Jonathan Dudkowski",0
464,"MANN--Norman. We mourn the loss of our very dear friend and extend our love and sympathy to Honey, his children and grandchildren. Connie and Allen","Paid Notice: Deaths  MANN, NORMAN",0
465,"VAN ES--Willem. Longtime resident of the Hotel Chelsea, raconteur, artist, and co-founder of Willem van Es Design died Christmas day on an international flight over the Atlantic. He is survived by his wife Quincy van Es and daughter Devon Yates.","Paid Notice: Deaths  VAN ES, WILLEM",0
466,"In 2010, San Francisco will finally bring out the wrecking balls and cement mixers and embark on a grand overhaul of its downtown. The project could eventually result in a half-dozen new skyscrapers, including a 1,200-foot tower whose gracefully tapered top would add a defining element to the iconography of the upwardly mobile skyline. Much of this grand transformation, which would leave the 853-foot Transamerica pyramid as the second-tallest structure in the city, is still in the conceptual stages. The ambitious plan for a new urban neighborhood could be scaled back. But the centerpiece of the project -- a $4.2 billion public transit hub -- has enough financing to begin construction, and the first dirt could be turned as early as March.",Ambitious Downtown Transit Project Is at Hand,0
467,"Rankings reflect sales, for the week ending Saturday, December 19th 2009, at many thousands of venues where a wide range of general interest books are sold nationwide. These include hundreds of independent book retailers (statistically weighted to represent all such outlets); national, regional and local chains; online and multimedia entertainment retailers; university, gift, supermarket, discount department stores and newsstands. An asterisk (*) indicates that a book’s sales are barely distinguishable from those of the book above. A dagger (†) indicates that some bookstores report receiving bulk orders. Among those categories not actively tracked are: perennial sellers; required classroom reading; text, reference and test preparation guides; journals and workbooks; calorie counters; shopping guides; comics and crossword puzzles. Expanded rankings are available on the Web: nytimes.com/books.","BEST SELLERS: ADVICE, HOW TO AND MISCELLANEOUS: Sunday, January 3rd 2010",0
468,"<!-- PERCY E SUTTON -->SUTTON--Percy E., on December 26, 2009. 15th child of Lillian and S.J. Sutton. Beloved husband of Leatrice O. Sutton, father of Pierre and Cheryl Sutton. Cherished grandfather of Keisha, Danielle, Maximillian, Sierra, Nola and Shelby. Uncle to numerous nieces and nephews. Funeral Service at Riverside Church, 490 Riverside Drive, New York, NY on Wednesday, January 6, 2010, 11am. Funeral services entrusted to: J. Foster Phillips Funeral Home Inc., (718)526-5656<br><br>
 ","Paid Notice: Deaths  SUTTON, PERCY E.",0
469,Some historical context for David Levine’s style of caricature.,The History of a Line,0
470,"WHEN they returned from vacation in Panama a few weeks ago, Avi and Rayna Deutsch and their two young sons found that their neighbors had shoveled the snow from the front walk and driveway of their house, a three-bedroom four-bath colonial that they bought for less than $500,000 last February. ''It's a very close sense of friendship where people are helping each other,'' said Mr. Deutsch, adding that they had not experienced such overt neighborliness in Brooklyn, where they previously rented.",Portrait of a Village at 100,0
471,"BERMAN--Jerry (Jacob-Joshua), passed away on December 5, 2009 at age 80. ""Rest peacefully my brother."" Aaron","Paid Notice: Deaths  BERMAN, JERRY (JACOB, JOSHUA)",0
474,"SMITH--Robert H. On behalf of The Jewish Federation of Greater Washington, we wish to express our deepest sorrow at the untimely passing of Robert H. Smith z""l. Bob's business and philanthropic leadership here in Washington, in Israel, and throughout the world was legendary. He translated his passions for the arts, for higher education, for Jewish day school education, for strengthening the Jewish community, for preserving some of America's most significant historical sites, and for so many other causes, into innumerable good deeds. His integral role as both a business and a philanthropic partner of the Smith-Kogod family has enriched our community beyond measure. To Clarice, David, Michelle, Stacey, Michael, Alexandra and Max; to Arlene and Bob Kogod; and to the entire Smith-Kogod family, we express our deepest sympathy. May his name and his memory be for a blessing. We are grateful for his legacy and bereft at his loss. Susie Gelman President The Jewish Federation of Greater Washington Misha Galperin Ph.D. Executive Vice President and CEO The Jewish Federation of Greater Washington","Paid Notice: Deaths  SMITH, ROBERT H",0
477,"SIMKO--George J.,74, passed away at home, surrounded by family, on December 30, 2009. George enjoyed a successful 43-year career in the advertising and marketing communications industry. Starting in the mailroom of Kenyon & Eckhart, Inc. in 1953, he rose through the ranks of K&E, and then D'Arcy, Masius, Benton & Bowles, Inc., where he spent 36 years. During his career George served in a wide variety of executive positions. He was Director of Media Management at DMB&B in the 1970's when the department was regarded as the leading media and programming operation in the industry. He then was named President of the Diversified Communications Division of DMB&B, overseeing its public relations, sales promotion, direct marketing and health care companies. George finished his career as President of the European and Middle Eastern operations of DMB&B based in London, and Chairman of the Executive Committee of DMB&B, retiring in 1996. George served as a Director of the Muscular Dystrophy Association for 10 years, using his media and programming expertise to help build the 24-hour Jerry Lewis Labor Day Telethon into one of the most successful fundraising endeavors in television history. He also spent a decade serving on the Board of Directors of the media industry's Audit Bureau of Circulations. Beloved husband of Mary, cherished father of Caroline and Christopher, admired father-in-law of Hans Olsen, honored brother of Ed, Barbara and Raymond, and loving uncle to numerous nieces and nephews. Visitation on Tuesday, January 5 from 2-5pm and 7-9pm at Oyster Bay Funeral Home, 261 South Street, Oyster Bay, NY. Mass of Christian burial on Wednesday, January 6 at St. Dominic R.C. Chapel, 93 Anstice Street, Oyster Bay, NY. Interment at Locust Valley Cemetery, Ryefield Road, Locust Valley, NY.","Paid Notice: Deaths  SIMKO, GEORGE J.",0
478,"Kikkan Randall led from start to finish to claim the gold medal in the women's freestyle sprint, the first of four events in the 2010 national cross-country skiing championships in Anchorage. Simi Hamilton won the men's event, edging Mike Hinckley.",Randall Wins Freestyle Sprint,0
479,TESTED: 2010 Aston Martin DBS Volante WHAT IS IT? A convertible version of Aston Martin's flagship.,Haute Couture Hooligan,0
480,"When Dennis Brutus heard the news, he was breaking stones on Robben Island, the notorious prison colony where Nelson Mandela, the freedom fighter and future South African president, occupied the cell next to his. The news was that the International Olympic Committee had suspended South Africa from the 1964 Olympics in Tokyo.","Dennis Brutus, 85; Fought Apartheid With Sports",0
481,"It's time to either relegate ''The Catch,'' the pass from Joe Montana to Dwight Clark to beat Dallas in the 1982 N.F.C. championship game, to the dustbin of history or at least to relabel it as ''The Other Catch.'' When you watch the two passes, Montana to Clark and Eli Manning to David Tyree, in sequence and realize that the former was in a divisional playoff and the latter in the Super Bowl against an undefeated team, you must come to the conclusion that Manning to Tyree is rightfully ''The Catch.'' Doug Portland, Ore.",Debating What Defined the Decade: Pro Football,0
482,"Erin Ventre Roeder, a daughter of Kathleen V. Roeder and Alan C. Roeder of Bloomfield Hills, Mich., was married in Detroit on New Year's Eve to John Peter Spader III, the son of Christine Spader and Mr. Spader Jr. of Scarsdale, N.Y. Mayor Jerry M. Ellis of Farmington Hills, Mich., officiated at the Detroit Athletic Club. Ms. Roeder, 30, is keeping her name. She is the director of strategic neighborhood development for commercial real estate owned by the Parish of Trinity Church in New York. She graduated summa cum laude from Dartmouth and received a law degree from Yale.","Erin Roeder, John Spader III",0
483,"BLICKSILVER--Jack. Beloved husband of late Beverly Wolk Blicksilver and father of late Audrey W. Kaplan. Survived by sons Owen and Mace Blicksilver and Mark Wolk. Devoted grandfather of Zoe, Zachary, David and Brian. Donations: David Nash Blicksilver Fund for Pediatric Orthopedic Care c/o Dr. Daniel Green, The Hospital for Special Surgery, 535 East 70 St., New York City, 10021.","Paid Notice: Deaths  BLICKSILVER, JACK",0
484,"ISAACSON--Betty, (95). December 30, New Jersey. Predeceased by her husband Oscar, her son Louis and his wife Evelyn. Her love will be remembered by her daughter Anita (Carl) Jacobs; grandchildren Elie and Avi Jacobs and Debra Isaacson.","Paid Notice: Deaths  ISAACSON, BETTY",0
487,"GLASS--Antonina S.,99, widow of George B. Jerzy Glass, MD, died peacefully at home surrounded by family on December 31, 2009, after a brief, final illness. A survivor of World War II, she, along with her husband and young son, came to New York in 1945 to start a new life and lived there to the present. She is survived by her son, Andrew Glass, MD, of Portland, OR; by her daughter, Janet Alteveer, MD, of Moorestown, NJ; son-in-law Robert and daughter-in-law Nancy; nine grandchildren, seven great-grandchildren, and family around the world. She received Poland's Knight's Cross in 1996 for her extensive chartable work for blind children. Friends may call at Frank E. Campbell, Madison Avenue and 81st Street, on Monday, 7-9pm. Service on Tuesday at 11:30am. In lieu of flowers, contributions to Doctors Without Borders would be appreciated.","Paid Notice: Deaths  GLASS, ANTONINA S.",0
488,"ZEINA is a restaurant for these times. Ingredients are fresh. Meals are cheap, comforting and nutritious. The food is delicious. All that is to be expected from a place whose name means ''best of everything.'' Mike Chaghlil, the ever-present manager and co-owner with Chantal Popescu, bases his standards on those he learned from his mother during his childhood in Lebanon and Syria. (Zeina is also the name of one of his daughters.) Mr. Chaghlil goes to the market every day for vegetables, breads, seafood and halal meats. Several of his recipes are his mother's; others pay homage to the restaurant that previously occupied the site, Seven Hills of Istanbul, with which Mr. Chaghlil was not involved. Zeina opened in June.",Blending Mideastern And Mediterranean,0
489,"The owner of two research hospitals affiliated with the Harvard Medical School has imposed restrictions on outside pay for two dozen senior officials who also sit on the boards of pharmaceutical or biotechnology companies. The limits come in the wake of growing criticism of the ties between industry and academia. Medical experts say they believe the conflict-of-interest rules at the institution, Partners HealthCare, go further than those of any other academic medical center in restricting outside pay from drug companies. The rules, which became effective on Friday, impose limits specifically on outside directors who guide some of the nation's biggest companies.",Hospitals Connected to Harvard Cap Outside Pay to Top Officials,0
490,"FOR a regional competition last spring, eight students from California State Polytechnic University, Pomona, spent six months of Saturdays practicing how to defend a typical business computer network from attacks. Then, over two grueling days, they outscored teams from five other schools at blocking worms and other efforts to disrupt their e-mail and Internet systems. For the six seniors in the group, all in computer information systems, the victory was even sweeter. Boeing, the giant aerospace and military company, offered them jobs.",Wanted: 'Cyber Ninjas',0
493,"Al Qaeda in the Arabian Peninsula has rapidly evolved into an expanding and ambitious regional terrorist network thanks in part to a weakened, impoverished and distracted Yemeni government. While Yemen has chased two homegrown rebellions, over the last year the Qaeda cell here has begun sharing resources across borders and has been spurred on to more ambitious attacks by a leadership strengthened by released Qaeda detainees and returning fighters from Iraq.",Yemen's Chaos Aids Evolution Of Qaeda Cell,0
494,"<!-- INGRID  BURNS -->BURNS--Ingrid Lilly. The Board of Trustees, alumni, residents and staff of International House note with sorrow the passing of our alumna Ingrid Burns '36, beloved sister of the late L.W. ""Bill"" Frohlich and a longtime director of the charitable trust that bears his name. Our deepest sympathy goes to her daughters, our Trustee Kathleen Burns and Madeleine Burns, and their families. Paul A. Volcker, Chairman Donald L. Cuneo, President<br><br>
 ","Paid Notice: Deaths  BURNS, INGRID ",0
495,"<!-- HELENE  HARTMAN -->HARTMAN--Helene, affectionately known to friends and family as Chickie, lost her courageous battle with cancer on Sunday, December 27, 2009. She died peacefully at her home surrounded by her family. A graduate of Woodmere Academy and Bennington College, she also received an MA in Education. She is survived by her loving husband and partner of over 53 years Bill Hartman, her adoring children Peter Hartman, Valerie Hartman Levy, Jeannine Bartow Hartman and Jeff Levy, her four grandchildren, Haley Hartman, Charlie, Eli and Cate Levy and her brother, Robert Friedman. A memorial service and celebration of her life will be held at Frank E. Campbell, 1076 Madison Avenue on Sunday, January 10th at 1:30pm. In lieu of flowers, the family has requested that donations be made in Chickie's name to The American Cancer Society or Calvery Hospital Hospice.<br><br>
 ","Paid Notice: Deaths  HARTMAN, HELENE ",0
496,"<!-- DUANE W RAGSDALE -->RAGSDALE--Duane William. Celebration of life at the Frank E. Campbell Funeral Chapel, 1076 Madison Ave. at 81st St. on Saturday, January 9 at 12 noon.<br><br>
 ","Paid Notice: Deaths  RAGSDALE, DUANE W.",0
497,"<!-- INGRID  BURNS -->BURNS--Mrs. Thomas Robert, Ingrid Lilly, died on December 23, 2009 at home in Palm Beach, FL at the age of 95. She is survived by her loving and beloved daughters, Kathleen Ingrid and Madeleine Deidre Burns; grandchildren Kirsten Camp, Thomas Bartle, III and Robert Miller. As well as great-granddaughters, Tamarin Camp and Lily Camp. Mrs. Burns was predeceased by the great love of her life, her husband of 56 years, Thomas Robert Burns and her brother, Bill Frohlich. She was a member of the Bath and Tennis Club, the Everglades Club and the Beach Club in Palm Beach, FL; the Colony Club in NYC and the Maidstone Club in East Hampton, NY. Mrs. Burns was the favorite couture model of the Duchess of Windsor and Gypsy Rose Lee. Mrs. Burns was an honorary member of the Royal Society of Medicine in London and the presiding trustee of a family foundation supportive of many New York and Palm Beach charities. The family wishes to express deep gratitude to Dr. Earl Campazzi, Jr, Carmen Garcia and Maria Randtke for their long devotion and care of Mrs. Burns. In lieu of flowers, donations to International House, 500 Riverside Drive, NYC, NY 10027 or Northcentral Maltese Rescue of Florida, 3601 Wright Ave, Racine, WI 53405 would be appreciated. Memorial services will be announced at a later date.<br><br>
 ","Paid Notice: Deaths  BURNS, INGRID ",0
498,"The Vikings rolled up 487 yards of offense in routing the Giants, 44-7.",Jan. 3: Vikings Beat Giants ,0
499,"The writer, though he has a family plot at St. Raymond’s Cemetery, decides to shop around.",Scouting the Perfect Resting Spot ,0
500,"SOME things never change. For example, children still collect soda cans and box tops to buy classroom equipment. But much in K-12 public education is being turned on its head, especially in urban districts where fixing failing schools has become a national focus. This means new education leadership jobs: running charter schools, directing turnarounds of troubled schools and founding nonprofits with creative answers to education challenges.",Skills to Fix Failing Schools,0
501,"IT'S a curious habit of our culture: once anything attains widespread popularity, there comes an inevitable backlash of criticism and negativity. Sometimes the hate brigade has a valid argument, but often the consensus opinion seems to do a 180 for no discernible reason. Which brings me to the Chevrolet Camaro.",In Defense of the New Camaro,0
502,"Bakhtiar Ludin looks like a rogue, with a roughly tied checkered scarf for a turban, a Kalashnikov and a band of similarly tough, armed men for company. But much of the hopes of Afghan and American officials to turn around the eight-year war here rests with him and those like him.",Afghans Start Answering Call to Fight the Taliban,0
503,"HOLIDAY AIR TRAVEL To the Editor: Regarding the Practical Traveler column ''The Flight Before Christmas'' (Dec. 20): All this, I say, and for what? Wouldn't May 20 do just as well for a visit? Christmas, Schmistmas.",Letters: The Flight Before Christmas,0
504,"'THIS is my final annual meeting as chairman,'' says Sandy Weill, standing near the window of his office, peering at a grainy photograph of him and his wife on stage at Carnegie Hall more than three years ago. They are smiling broadly, and behind them is a packed house of cheering Citigroup shareholders. A huge banner dangling from the balcony reads ''Thank You Sandy.'' On that day, April 18, 2006, Citi's share price was $48.48. After studying the photo for a few moments, Mr. Weill says quietly, ''I thought the company was impregnable.''","Citi's Creator, Alone With His Regrets",0
505,"What I'll remember about this decade in baseball is the continued evolution of the game away from much of what I think are (were) baseball's most endearing qualities. Commercialization by Major League Baseball begets bigger contracts, which begets steroid use. Mr. Wooly",Debating What Defined the Decade: Baseball,0
507,"FOR two years motorists on Route 25A in Huntington could see the transformation of the former Empire Szechuan into the dazzling Dao, which opened in August. The lavishly decorated exterior has Japanese gardens with rocks, waterfalls, bonsai and fish ponds. The interior is equally elaborate. Diners first see a marble-topped, backlighted bar in a lounge area with circular leather booths and a baby grand player piano (which can be heard throughout the restaurant). Overhead is a glittery gold ceiling made of glass and stone tiles. The rest of the restaurant features four massive crystal chandeliers, marble columns, a tropical fish tank and pale marble floors.","Amid Dazzling Décor, Some Hits and Misses",0
508,"Liverpool's season suffered another stutter as it was held to a 1-1 draw at Reading in the third round of the F.A. Cup on Saturday. Liverpool fell behind in the 24th minute when Simon Church scored from barely a yard out on a cross from Grzegorz Rasiak. In other games, Portsmouth, the 2008 F.A. Cup winner, had to rally to salvage a 1-1 draw at home to Coventry City. And Bolton, which is under threat of relegation, endured a goalless first half before beating Lincoln, 90th out of England's 92 league clubs, 4-0.",Liverpool Struggles at Reading,0
509,"JAZZ is metal. Well, of course it isn't, really. They don't sound alike on their outer layers. And their audiences don't overlap. From the evidence of hundreds of jazz shows I've seen all over the country this past decade, a whole lot of Americans over 60 feel a tremendous fondness for jazz and help it survive. Most of those same people, I'd guess, would feel a virulent loathing for metal, if they ever were forced to encounter it.","Jazz and Metal, Riffs in Arms",0
510,"HOLIDAY AIR TRAVEL To the Editor: Regarding the Practical Traveler column ''The Flight Before Christmas'' (Dec. 20): All this, I say, and for what? Wouldn't May 20 do just as well for a visit? Christmas, Schmistmas.",Letters: The Flight Before Christmas,0
511,"'THIS is my final annual meeting as chairman,'' says Sandy Weill, standing near the window of his office, peering at a grainy photograph of him and his wife on stage at Carnegie Hall more than three years ago. They are smiling broadly, and behind them is a packed house of cheering Citigroup shareholders. A huge banner dangling from the balcony reads ''Thank You Sandy.'' On that day, April 18, 2006, Citi's share price was $48.48. After studying the photo for a few moments, Mr. Weill says quietly, ''I thought the company was impregnable.''","Citi's Creator, Alone With His Regrets",0
512,"What I'll remember about this decade in baseball is the continued evolution of the game away from much of what I think are (were) baseball's most endearing qualities. Commercialization by Major League Baseball begets bigger contracts, which begets steroid use. Mr. Wooly",Debating What Defined the Decade: Baseball,0
514,"SOME things never change. For example, children still collect soda cans and box tops to buy classroom equipment. But much in K-12 public education is being turned on its head, especially in urban districts where fixing failing schools has become a national focus. This means new education leadership jobs: running charter schools, directing turnarounds of troubled schools and founding nonprofits with creative answers to education challenges.",Skills to Fix Failing Schools,0
515,"IT'S a curious habit of our culture: once anything attains widespread popularity, there comes an inevitable backlash of criticism and negativity. Sometimes the hate brigade has a valid argument, but often the consensus opinion seems to do a 180 for no discernible reason. Which brings me to the Chevrolet Camaro.",In Defense of the New Camaro,0
516,"Bakhtiar Ludin looks like a rogue, with a roughly tied checkered scarf for a turban, a Kalashnikov and a band of similarly tough, armed men for company. But much of the hopes of Afghan and American officials to turn around the eight-year war here rests with him and those like him.",Afghans Start Answering Call to Fight the Taliban,0
517,"Looking back at the N.H.L. from the vantage point of the first weekend of 2010, one precedent-smashing event defined the just-concluded decade and will continue to have ramifications for the decade that has just begun: the lockout that led to the cancellation of the 2004-5 season. Never before had an entire North American professional sports season been lost because of a labor dispute. It was not merely the pivotal event of the decade for the N.H.L.; it was perhaps the pivotal event in the modern history of pro hockey.",A Labor Dispute Still Shapes the N.H.L.,0
518,"DAWSON--Rita, passed away November 22 at the age of 89. Graduate of Hunter College. Ziegfeld Girl, a Trouper and a retired Teacher will be missed by her family.","Paid Notice: Deaths  DAWSON, RITA",0
519,"KRIEGSMAN--Elliot, 61, of New York, on December 19, 2009, as the result of a cerebral aneurysm. Journalist and Haiti scholar. Son of the late Iris and Leo Kriegsman; father of Emery and Cody; brother of Michael and Judith, Barbara and Clyde; uncle of Mark, Gina, Ali and Ben; great-uncle of Max and Hannah. A truly hilarious, gifted and generous man--our El, our Dat-one, our Alien. Memorial services to be held at 11156 Cashmere St., Los Angeles, on January 3 and 4, 2010, and in New Jersey the following week.","Paid Notice: Deaths  KRIEGSMAN, ELLIOT",0
522,"KORWIN--Joan, after a long illness passed away peacefully on December 28, 2009. Beloved wife of the late Michael Korwin. Loving mother of Stacy Marquit and her husband Richard. Cherished grandmother of Amanda and Adam. You will be with us always in our hearts. Services were private.","Paid Notice: Deaths  KORWIN, JOAN",0
524,"THE NEWS The Iranian government arrested hundreds of protesters, staged pro-government rallies and lashed out at the West in response to widespread public outrage at a violent police crackdown that left at least 10 dead and hundreds wounded. BEHIND THE NEWS Tehran's use of deadly force on Ashura, the holiest day for Shiites, broke a taboo honored even in wartime, and seemed to galvanize Iranians who had not joined earlier protests. The vitriol of crowd chants on each side showed a deepening schism within Iranian society since June's disputed presidential election.",SHAKY GROUND | DEC.27 - JAN.2,0
525,"BURNS--Ingrid Lilly. The Board of Trustees, alumni, residents and staff of International House note with sorrow the passing of our alumna Ingrid Burns '36, beloved sister of the late L.W. ""Bill"" Frohlich and a longtime director of the charitable trust that bears his name. Our deepest sympathy goes to her daughters, our Trustee Kathleen Burns and Madeleine Burns, and their families. Paul A. Volcker, Chairman Donald L. Cuneo, President","Paid Notice: Deaths  BURNS, INGRID LILLY",0
526,"<!-- GUS  ANDROS -->ANDROS--Gus Dick, on December 31, 2009. Born March 4, 1926 Oklahoma City. Dancer, Choreographer, teacher for over 60 years. Started dancing after discharge from army in WWII. 1948 joined San Francisco Ballet. Teachings: Theatre Arts Center, Ballet Master Bat Dor Dance Company Of Israel, Harkness Dance Center, High School Of The Performing Arts, New York School Of Ballet, Usdan Center For The Performing Arts, Steps, 92nd Street Y, Ballet Academy East. For 20 years Dick wrote dance history for Dance Pages and Dance And The Arts plus The Dick Andros Newsletter. For website please Goggle Gus Dick Andros to read his extraordinary career plus histories on dance. He leaves behind nieces, nephews, cousins and a multitude of adoring students and friends. Dick, you will always remain in all our hearts and minds. Peace. Memorial and boat service-later in 2010.<br><br>
 ","Paid Notice: Deaths  ANDROS, GUS ",0
527,Laini Fondiller and her Alpine goats at Lazy Lady Farm in Vermont.,The Kids Stay in the Picture Field Report,0
529,"PACKAGING art by the decade isn't realistic; art doesn't come in squared-off units. But we seem to need handles on history, so that's what we do. And here we are once again, in 2010, trying to make a chronological chunk of art -- 2000s art, or new millennium art, or art of the aughts -- make sense. Whatever you call the art of the last decade, there was a ton of it. Has the world ever turned out more, in more varieties, than in the last 10 years? I doubt it. The 2000s really started in the late 1990s. In the early years of that decade the American economy was in woeful shape, the art market a shambles. AIDS and the culture wars raged. At the same time multiculturalism and a budding globalism were opening doors. Not only were we seeing African-American, Latino and Asian-American artists stepping onto the stage in New York in unprecedented numbers, but we were getting news from art centers in Africa, Latin America and Asia.",Depending On the Culture Of Strangers,0
530,"Devil No. 1 Gets a Makeover in China China is rehabilitating Chiang Kai-shek, the rival toMao Zedong long portrayed as devil No. 1 in Chinese Communist Party propaganda, writes Cristian Segura in The Asia Times. That's because Beijing now sees the pro-unity Kuomintang party of Taiwan, which Chiang once led, as an ally in the fight against Taiwanese pro-independence forces:",Devil No. 1 Gets a Makeover in China,0
531,PSYCHO TOO By Will Self,The World Made Flesh,0
532,"THE BASICS What if a hotel did away with every standard-but-sometimes-pointless feature -- parking, help with bags, reception, concierge -- and just offered stylish, well-located rooms? Welcome to the Inn @ St. Botolph, Boston's radical experiment in reimagining the hotel. A series of handsome suites on a leafy Back Bay street, St. Botolph even eliminates keys: guests punch access codes into keypads instead.",Boston: The Inn @ St. Botolph,0
533,"FLUG--Alfred, 94, died at his home in Palm Beach, FL, on December 30, 2009. Dad, you died exactly the way you lived your life, on your own terms. You've been there for us in your inimitable way since we were born and never asked for anything in return, I could go on, but I think Sinatra said it best, You loved, you laughed and cried, you had your fill, your share of losing and now, as tears subside you'd find it all so amusing to think you did all that and may I say, not in a shy way, oh, no, oh, no, not you, you did it your way. I love you dad, Robert. Also survived by his daughter Carol, daughter-in-law Ellen, grandchildren Danielle, Racquel (Jim) and Owen, great-grandchildren Juliette, Jasper, and Alexander, and companion Elena.","Paid Notice: Deaths  FLUG, ALFRED",0
534,"GENERAL MOTORS is offering its dealers a special incentive for the next week or so, intended to help get rid of inventories of leftover Pontiac and Saturn models. G.M. is giving dealers $7,000 for every vehicle from either discontinued brand that they move into their rental or service fleets. The vehicles could then be sold to consumers.",A G.M. Incentive With a Catch,0
536,Club before country. My favorite memory of the past decade was Arsenal going undefeated for the entire 2003-4 season. Josh B Washington,Debating What Defined the Decade: Soccer,0
537,"HEILIGMAN--Richard I.,81, passed away December 25 in Sarasota, FL after a long illness. He managed the Syracuse University endowment fund from 1973 to 1989. He is survived by daughters Audrey Heiligman, Margot Heiligman Williams and grandson Elias Rex Williams. Contributions: Inclusion Body Myositis Assn. Suite 402, 1233 20th St. NW, Washington, DC 20036.","Paid Notice: Deaths  HEILIGMAN, RICHARD I.",0
