,lead_paragraph,headline,uplifting
876,"ONE morning not long ago, as I was dropping off my son at preschool, his teacher beckoned me over for a private chat. A flutter passed through me. What had happened? Had Judah been overtickling other children again? Throwing graham crackers?",Could I Forgive Him One Last Time?,0
877,"<!-- HARRY  SMITH -->SMITH--Harry Charles, died December 29th. Born March 23, 1929. Harvard '48. He is survived by his sister Ruth; brother Allan; nieces Allison, Laura and Samantha; nephews Andrew, Brian and Matthew; cousins Elizabeth, Joan, Michael and Peter. His body was given to the NYU School of Medicine. A memorial gathering is planned at a future date.<br><br>
 ","Paid Notice: Deaths  SMITH, HARRY ",0
878,"In a clear signal to President Hamid Karzai that he cannot count on Parliament for support, lawmakers resoundingly rejected most of his nominees for cabinet posts and expressed discontent with the candidates' competence. Of Mr. Karzai's 24 cabinet nominees, 17 were rejected and 7 approved. Of those who received votes of confidence, all but one are currently cabinet ministers.",Afghan Parliament Rejects Most of Karzai's Nominees for Cabinet Positions,0
879,"<!-- MARIE  VAN DOREN -->VAN DOREN--Marie Antoinette, died of cancer December 30 in New York City. She is survived by her husband Peter and brothers Jean and Jacques Cornet and sister Helene Clarke. Manie was a 1951 graduate of the Sacred Heart School at Noroton and spent much of her working life in fashion, including two years as a volunteer at the Costume Department of the Smithsonian. From 1988-2000 she was the President of The Woman's Exchange in Manhattan. A memorial Mass will be said at St. Vincent Ferrer at 3pm Thursday, January 21.<br><br>
 ","Paid Notice: Deaths  VAN DOREN, MARIE ",0
880,The dream of being able to showcase these vehicles is at least a year or two away from becoming reality.,American Honda&#39;s Corporate Collection ,0
881,Charles Isherwood on significant Broadway musicals of the aughts.,The Decade in Musicals ,0
883,"NEW YORKERS have a talent for breathing new life into objects left on curbs or stoops. One person's castoff is another person's coffee table. A pile of books that somebody leaves for the garbage truck can become somebody else's library. Elizabeth Cronise was thinking something along these lines when, in August 2008, she spotted a leather bracelet in her bicycle basket. How it got there remains a mystery, but pondering its meaning seemed more intriguing than finding its owner.",Elizabeth Cronise and Joe McLaughlin,0
884,"The Silicon Valley Leadership Group represents business interests in a region known for being on the leading edge of innovation. But when it comes to politics, the group is decidedly retro, a throwback to the days when there was a viable center in California's civic affairs. With nearly 300 companies on its roster, from Accenture to Yahoo, the group stands out as a small island of ideological diversity in a sea of partisan polarization.",To-Do List Grows For Leadership Group,0
885,"The Mexican police have captured a man suspected of being a drug lord, Carlos Beltrán Leyva, just weeks after his even more powerful brother was killed in a shootout with troops -- back-to-back victories in President Felipe Calderón's drug war. The Public Safety office said in a statement Saturday night that Mr. Beltrán Leyva was arrested in Culiacán, the capital of Sinaloa State, where he and several of his brothers were born and were said to have started their gang.","Mexican Police Capture Cartel Official, Brother of Slain Boss",0
886,"STEVENS--Herbert J. We continue to miss your encouragement, kindness, kin intelligence and unerring eye. The irreplaceable can never be replaced.","Paid Notice: Memorials  STEVENS, HERBERT J",0
887,"JUDGED from the long view of history, the Broadway musical's rise, reign and fall appear to have taken place in a flash. This American-born art form reached its artistic peak in the 1940s and began a slide toward senescence a mere two decades later. But take a stroll through Times Square today, and a different point of view asserts itself. The tourists thronging the area aren't coming for the lawn chairs, after all, or the peculiar chain stores devoted to candy brands. The primary business that makes this clogged artery the tourist heart of the city is theater, and the musical remains its driving force. Stand in the lobby as audiences emerge from ''Wicked'' or ''Billy Elliot,'' and you surf a tide of happy babble. The theatergoers clogging the tchotchke dispensaries in the Gershwin or the Imperial Theaters may well look back on the experience with the same ineffable glow that is driving audiences of another generation to the revival of ''South Pacific.''",Cue the Chorus: The Musical Endures,1
888,"Rankings reflect sales, for the week ended Saturday, December 19th 2009, at many thousands of venues where a wide range of general interest books are sold nationwide. These include hundreds of independent book retailers (statistically weighted to represent all such outlets); national, regional and local chains; online and multimedia entertainment retailers; university, gift, supermarket, discount, department stores and newsstands. An asterisk (*) indicates that a book’s sales are barely distinguishable from those of the book above. A dagger (†) indicates that some bookstores report receiving bulk orders. Perennial sellers are not actively tracked. Expanded rankings are available on the Web: nytimes.com/books. All four children’s lists appear each week on the Book Review’s Web site. Publishers have provided the age designations for their best-selling children’s titles.","CHILDREN'S BEST SELLERS: SERIES: Sunday, January 3rd 2010",0
889,"We are a group of women verging on old, old age. We have known each other for more than 40 years and are closing in on 80. We are beyond face-lifts and Botox. Most of us will not opt for hip replacements or assisted living (yet). We travel around the world, to Rome, France and the Galápagos. We garden and paint our walls. We do yoga and swim at the Y. We go to the theater and the opera. We volunteer time and energy to community services: housing help, food pantries, the historical society. Our icebergs loom offshore, but we're not dead yet. We are survivors. Five of us have survived our husbands and the grief and trials of widowhood. We rely on one another for medical referrals (most of our doctors have retired), handymen, plumbers and tree men. We have survived knee replacements, cancer and major surgery. We take a ton of pills just for maintenance.",Asking 'How Are You?' And Hearing Grumbles,0
892,"To the Editor: Re ''Weighing the Medical Costs of End-of-Life Care (''Months to Live'' series, front page, Dec. 23):",What Dying Patients Need,0
893,"Sarah Brooks Barlow and Nicholas James Huston were married Saturday evening in Brooklyn. Dr. Christian Isichei, a friend of the couple who became a Universal Life minister for the event, officiated at the restaurant Bubby's Brooklyn. The bride, 39, is the chairwoman of the English department at the Little Red School House and Elisabeth Irwin High School, a private school in Manhattan, where she also teaches eighth-grade English and history. She graduated magna cum laude from Occidental College in Los Angeles and received a master's degree in teaching English from Brown.","Sarah Barlow, Nicholas Huston",0
894,"<!-- NORMAN  MANN -->MANN--Norman. We mourn the loss of our very dear friend and extend our love and sympathy to Honey, his children and grandchildren. Connie and Allen<br><br>
 ","Paid Notice: Deaths  MANN, NORMAN ",0
895,"<!-- RICHARD  HEILIGMAN -->HEILIGMAN--Richard I., 81, passed away December 25 in Sarasota, FL after a long illness. He managed the Syracuse University endowment fund from 1973 to 1989. He is survived by daughters Audrey Heiligman, Margot Heiligman Williams and grandson Elias Rex Williams. Contributions: Inclusion Body Myositis Assn. Suite 402, 1233 20th St. NW, Washington, DC 20036.<br><br>
 ","Paid Notice: Deaths  HEILIGMAN, RICHARD ",0
896,"<!-- JOSEPH  KAUFMAN -->KAUFMAN--Joseph L. Our friend and partner whose memory and contribution to our firm, The American Stock Exchange, and the securities industry will live on. All of us were proud to have worked with a special human being who lived by the motto of ""your word is your bond."" He represented the purest form of integrity and honesty. The customer was always treated fairly and with respect. He will be missed. Cohn, Delaire and Kaufman<br><br>
 ","Paid Notice: Deaths  KAUFMAN, JOSEPH ",0
898,"THE holiday season spells downtime for many, but not for Valérie Del-Sol Wetterhahn of Bisou and Tartine, a licensed home baker who makes European delicacies for her fellow French expatriates, and other discerning customers, in Larchmont and surrounding towns. No sooner had Ms. Wetterhahn stuck the last meringue mushroom on her last bûche de noël than she was rolling out puff pastry for her first galettes des rois, a confection eaten in the days before and after Epiphany, or Twelfth Night, on Jan. 6, to celebrate the arrival of the three kings bearing gifts for the baby Jesus. ''In France, you can find the galette the very day after Christmas,'' Ms. Wetterhahn said. ''I already have 13 on order, and more to come. The galette is something that everybody loves, not just children.''",Old-World Tradition Lives in Her Kitchen,1
899,"María José Martínez Sánchez beat Melanie Oudin of the United States, 6-4, 6-4, to give Spain a 1-0 lead in the Hopman Cup in Perth, Australia. Romania beat Australia, 2-1, to open the event.",Spain Leads United States,0
900,"The bustling commuter hub casts its shadow over tiny cafes, mom-and-pop bakeries and bona fide dive bars that are beauties to its beast.",Local Stop: Port Authority ,0
901,The DBS Volante eschews styling gimmicks and relies on the classic formula of beautiful proportions.,2010 Aston Martin DBS Volante ,0
905,"WHEN it comes to construction, most of us think hammers, nails and concrete. Who knew that an advanced degree would be in order for this largely blue-collar industry or, in this economy, that it would be in demand? In fact, construction administration involves financing (bidding, estimating, cost control), people skills (labor negotiations) and management (project planning). Average salary: a lofty $90,000 in 2008, according to the Bureau of Labor Statistics. And every level of credential, from certificate to Ph.D., is offered at every kind of institution, from Ivy League (Columbia University) to for-profit (University of Phoenix Online).",Building More Than Resumés,0
906,"Kristin Ann Reilly, a daughter of Sharon A. Reilly and Thomas F. Reilly of Huntington, N.Y., was married New Year's Eve to Salvatore Dominick DiGiacomo, a son of Diana DiGiacomo of Baldwin, N.Y., and John T. DiGiacomo of Grasmere, Staten Island. Msgr. John Martin performed the ceremony at St. Edward the Confessor Roman Catholic Church in Syosset, N.Y., where the bride's father is a deacon. The bride and bridegroom, both 27, graduated from Quinnipiac University, where they met.","Kristin Reilly, Salvatore DiGiacomo",0
907,Why a Deposit Isn't a Rent Payment,Q & A,0
908,"Robert Wong began his career at 23 as a correctional officer at San Quentin. Now, 27 years later, he is ending it as the acting warden. He oversees 2,000 employees and 5,200 prisoners, including 680 on death row. Few inmates see the bay view that is his paradise. (His words have been edited and condensed.) CAROL POGASH",Giving a Job a New Perspective,1
910,"WASSERMAN--Samuel. Sam, you're gone too soon and too fast. But your sparkle, your wit and your amazing integrity will be part of us forever. Give Eric a hug from us. Love, Ellen, Sam, Nate and Bea. I love you, Sam. From Nate.","Paid Notice: Deaths  WASSERMAN, SAMUEL",0
911,"Soon after the attempted Christmas Day bombing on Northwest Airlines Flight 253, the government announced that it was reviewing airline security measures, particularly on international flights heading toward the United States. Some of the proposed measures -- including forbidding all movement in the cabin and banning access to all ''personal items'' an hour before landing -- were met with disbelief and consternation among many readers who commented on the Travel section's In Transit blog.",Readers' Comments: Safer Flying,0
913,"There was something discordant, even tinny, about Barack Obama's attempt to castigate Wall Street last month. No doubt the president was trying to acknowledge and channel the resentments in his own party -- and in the country -- when he told CBS's Steve Kroft during a ''60 Minutes'' interview, ''I did not run for office to be helping out a bunch of fat-cat bankers on Wall Street.'' Yet the rhetorical slap felt a little flat. In part it was the oddity of the epithet, a musty Washington cliché that had the effect of making Obama, the most urbane president in a half-century, sound as if he belonged in some black-and-white talkie from the '40s. Why, listen here: I oughtta pound you -- and all your fat-cat pals! But it was also Obama's body language, the dutiful way in which he delivered the line and elaborated on it, that gave the impression of a dapper man trying on an ill-fitting suit. When the president sat down for an amiable conversation with a group of those very same fat cats the next day, it only reinforced the impression among disenchanted Democrats that Obama shows more deference to moneyed interests than he does to liberals.",No-Commoner Obama,0
915,"A guide to cultural and recreational goings-on in and around Connecticut. Items for the guide should be sent at least three weeks in advance to ctcal@nytimes.com, or by mail to Connecticut Calendar, Metropolitan, 620 Eighth Avenue, New York, N.Y. 10018-1405. Comedy",Events in Connecticut,0
917,"FORGET what your parents told you: money does grow on trees. Well, at least for the street photographers who work the crowds around the Rockefeller Center Christmas tree, it does. With digital cameras and ink-jet printers powered by car batteries, they churn out images at about $10 a pop. Arrivistes, as far as Louis Mendes is concerned. Where is the skill in setting a camera to ''automatic'' and pushing a button? Where is the permanence in a shot printed with no-name ink on no-name paper? Where is the craft?","A Camera and an Eye, Both One of a Kind",0
918,"IT'S a rare architecture exhibition that can be described as ''fun for the whole family.'' But the current offering at the Yale School of Architecture's gallery deserves the plaudit. ''What We Learned: The Yale Las Vegas Studio and the Work of Venturi Scott Brown and Associates,'' which was reviewed in The New York Times on Dec. 23 by Nicolai Ouroussoff, takes a stab at decoding the legacy of Robert Venturi and Denise Scott Brown, Philadelphia-based architects known as much for their ideas as for their buildings. Those ideas include referencing pop culture icons, from Andy Warhol to McDonald's, in otherwise ''serious'' architecture.",A View of Modernism Through a Vegas Lens,0
919,"Aviva Yaffa Androphy, a daughter of Nancy R. Androphy and Rabbi L. Ronald Androphy of East Meadow, N.Y., and Evan Seth Marlin, the son of Bebby Marlin and Dr. Arthur E. Marlin of St. Petersburg, Fla., were married New Year's Eve. The bride's father, the leader of the East Meadow Jewish Center, performed the ceremony there, with Rabbi Aryeh Scheinberg taking part. Mrs. Marlin, 25, is a candidate for a Ph.D. in clinical psychology at Yeshiva University, from which she also received a master's degree. She graduated magna cum laude from Brandeis.","Aviva Androphy, Evan Marlin",0
921,"<!-- BRIAN  GOTTLIEB -->GOTTLIEB--Brian. We will greatly miss our dear friend and neighbor, Brian. He was always warm, caring and devoted to his wonderful family and friends. His optimism and zest for life will forever inspire us. Love, The Horne Family<br><br>
 ","Paid Notice: Deaths  GOTTLIEB, BRIAN ",0
923,"<!-- DAVID  LEVINE -->LEVINE--David. He has given us everything we need. A way to start a painting, a way to lose a painting in order to rediscover it, an approach to painting that allows us to live without ego, an example of how a true artist lives a life in art, a way of making art social, a way of finding your subject. We will miss his rich instruction to enjoy the medium, but we will always have his voice saying, ""Play, have fun."" The Painting Group<br><br>
 ","Paid Notice: Deaths  LEVINE, DAVID ",0
924,"<!-- DAVID J O'BOYLE -->O'BOYLE--David J., 85 years old, died December 30, 2009 in Glen Ridge, NJ. Former partner at the law firm Arthur Dry and Kalish, New York, NY, and Board member and General Counsel at Uniroyal Holding Inc., Oxford, CT. Retired ten years ago. Husband of Teresa Gibbons O'Boyle, also survived by five children and ten grandchildren. Visiting hours Sunday, January 3, 2-6pm at Frank Halpin's Brookdale Funeral Home 1284 Broad St. Bloomfield, NJ 07003. A funeral mass will be offered on Monday, 10am at St. Jopseph's R.C. Church 44 Benvenue Ave. W., Orange, NJ 07052.<br><br>
 ","Paid Notice: Deaths  O'BOYLE, DAVID J.",0
925,Ben Brantley on some of the celebrities who helped fuel Broadway’s box office.,A Decade of Star Power ,0
926,"The museum features significant motorcycles from Ducati's past, including most of its world title winners.",Inside the Ducati Museum ,0
927,"About six million Americans receiving food stamps report they have no other income, according to an analysis of state data collected by The New York Times.",Living on Food Stamps ,0
928,"Twelve games on Saturday, highlighted by the East-leading New Jersey Devils' visit to Minneapolis -- their first in two seasons. Thus it would be Jacques Lemaire's first trip back since he stepped down as Minnesota's first and only coach last spring. Seems like something dramatic in the offing. Home teams listed first:",N.H.L. Scoreboard: Great Homecoming for Langenbrunner and Lemaire,0
929,"As our Judy Battista wrote for Saturday's paper, the N.F.L. recognizes that it may have a problem.",Readers' Suggestions for Late-Season Competitive Integrity,0
930,"Greetings from Atlanta, where I'm attending the American Economic Association's annual meetings.",Market Madness,0
931,"Once, when Army Coach Zach Spiker filed an expense report from his days on the recruiting trail as a Cornell assistant, his receipt from a gas station stop around 3 a.m. was denied. The purchase in question was a pack of Sour Patch Kids.",A High-Energy Leader at Army,0
932,"A Maplewood Township ambulance collided with a passenger car this morning around 10:30 a.m. The ambulance was heading back to the firehouse on Dunnell Road when it collided with the car at the intersection of Springfield Avenue and Boyden Avenue. According to Deputy Chief Walter Nugent, there were no injuries. There were no patients in the ambulance and the passenger car was not towed. The Local will provide new information as it becomes available. -- Lois DeSocio",Ambulance Collision in Maplewood,0
933,"MINNEAPOLIS -- With nothing to play for, the Giants aren't doing much for the job security of Bill Sheridan, their defensive coordinator.",Ugly First Half for the Giants in Minnesota,0
934,Southern California has imposed sanctions on its men's basketball team following an internal investigation that found N.C.A.A. violations relating to the recruitment of the former Trojans star O.J. Mayo.,Sanctions for U.S.C. Basketball,0
935,"In Patrick Healy's interview with Stephen Sondheim, the composer says he has made a fragile peace with the ""chamberization"" of his musicals, like the eight-instrument arrangement for the current Broadway revival of ""A Little Night Music.""",When Sondheim Goes Small,0
936,"Student photographers rove their campuses for The Times. This issue: students striving to live off the grid (in a dome, teepee or mini-house). Text by Amanda M. Fairbanks",Alternative Living,0
937,"John Brennan, President Obama’s deputy national security adviser, Michael Chertoff, former secretary of Homeland Security and Michael Hayden, former C.I.A. director.",Meet the Press,0
939,MONDAY'S PUZZLE - What's in a name? Sometimes immortality and sometimes extinction.,Productivity,0
940,"A recent article in The Chicago Tribune described a continuing debate in business schools over whether their enrollees should be regarded as ""customers"" rather than as traditional students. Should the students have more say over what they are taught and even how they are judged? What's the risk of the student-consumer approach in M.B.A. programs? And does the issue reflect broader issues in higher education?",Are They Students? Or 'Customers'?,0
941,"Update | 11:28 p.m. On the final day of the regular season, seven A.F.C. teams were alive for the two wild-card spots. In the N.F.C. most of the seeds were up for grabs. At the end of the day, the Vikings had a bye, the Cowboys were N.F.C. East champions, and the Ravens and the Jets had the A.F.C. wild cards. The Fifth Down tracked the results and the changing playoff scenarios as the day went on.",Live Tracking of the Playoff Picture,0
942,"Greg Bishop, Joe Lapointe and William C. Rhoden are at the Meadowlands and Paul Myerberg at The New York Times building in Manhattan providing live analysis of tonight's game between the Jets and the Bengals. Use your refresh button to stay current on the updates.","Live Analysis: Jets 37, Bengals 0, final",0
943,"The Olympic hopeful Kevin Pearce's parents, Simon and Pia, released a statement Sunday night regarding the support they have received in the wake of the serious head injury he sustained while training in the halfpipe last Thursday in Park City, Utah.",Pearce's Parents Thank Supporters,0
944,"WASHINGTON - As Democratic Congressional leaders work to merge the House and Senate versions of major health care legislation, a big question is what they will do about the Children's Health Insurance Program, which now provides coverage to more than nine million children and pregnant women and is expected to cover more than 14 million by 2013.",Program for Children Has Uncertain Future,0
945,"There he is, lying in the ruins of a bombed-out apartment building. Mickey Mouse, splayed, limbs akimbo, surrounded not by the denizens of the Magic Castle, but a bleak war-zone landscape of rocks, shards of glass, a dark red truck, a couple of people in the distance, but otherwise devoid of humanity. The caption to the photograph reads:",It Was All Started by a Mouse (Part 1),0
946,"James Cameron, the director of ""Avatar,"" is not one to do things halfway. Asked for a response to those who objected to the movie's scenes in which the scientist Dr. Grace Augustine, portrayed by Sigourney Weaver, puffed on a cigarette, Mr. Cameron wrote this:",James Cameron Responds to Critics of Smoking in 'Avatar',0
947,"Citizens from nations including Pakistan, Saudi Arabia, and Nigeria will face intense screening, but U.S. citizens will no longer face the full range of security imposed after the Christmas Day bomb plot. Read the full story.",U.S. Intensifies Screening for Travelers From 14 Nations,0
948,"Rush Limbaugh will return to his talk show on Wednesday, two days later than planned, after a two-day stay at a hospital in Hawaii.",Limbaugh to Resume Radio Show on Wednesday,0
949,"In today's Media Equation, David Carr writes:",Media Equation: And a Tablet Will Lead Them ...,0
950,"Janet Dennard, who has struggled with bipolar disorder and a frayed relationship with her daughter, channels her creative energy into sewing.",Neediest | Looking Ahead,0
952,NBC will augment its multi-network event coverage of next month's Winter Olympics in Vancouver with news and studio programming on Universal Sports.,NBC to Bulk Up Olympic Coverage,0
953,Rutgers alumni advise job-seekers at a speed-networking seminar.,High-Speed Connections,0
954,"Charles Johnson, left, of Little Green Footballs and Conn Carroll of The Heritage Foundation debate extremism on the right.",Bloggingheads: Conservative Fascism?,0
955,"A secretive motel guest in the Florida Keys checked in under a fake name, paid in cash, stockpiled canned food and insisted on cleaning his own room. He even covered his car -- all an effort, the authorities said, to elude the police after he was accused of killing four relatives at Thanksgiving dinner. But the cover of the man, Paul Merhige, was blown when the motel owners recognized him in a preview for the television show ''America's Most Wanted'' on Saturday night.",Suspect in Family Killing Is Caught,0
956,"For a salad to make a meal, it should contain something more substantial, like grains, beans or potatoes, or protein-rich ingredients like cheese, fish or eggs. Poach an egg, place it atop a generous serving of frisée salad tossed with croutons, herbs and a tart vinaigrette, and you’ve got lunch or a light dinner. A spinach salad with green beans can be transformed into a comforting and nourishing meal when warm potatoes tossed with vinaigrette and feta are added to the mix. I’ve made this mixed-grains salad using both regular brown rice and brown basmati rice. I like the lightness of the basmati brown rice, but I also enjoy the chewiness of regular brown rice.  ","After Holiday Gluttony, a Perfect Time for Entree Salads",0
957,"For the lonely couch potato, help is on the way. Simple technology, including video chatting services like Skype, is making it possible for far-flung friends to watch shows together, even if they can't share the same bowl of popcorn.","Watching TV Together, Miles Apart",1
958,Say goodbye to the voting booth with its quaint little curtain. Say goodbye to pulling the lever for your candidate. And say hello to filling in SAT-style ovals on Election Day.,City Finally Poised to Give Up Lever Voting Machines,0
959,"What will the mobile phone devour next? It swallowed up the personal digital assistant, the gadget that defined the beginning of the last decade, and is eating through the landline telephone, digital camera, MP3 player and even the wristwatch. The creative destruction has just begun. Investors should heed the mobile phone's Schumpeterian powers. When the century began, bankers ''beamed'' each other information via the now-quaint infrared technology of the Palm Pilot, whose maker had a market value of $92 billion. Palm shifted to mobile phones, but lost 97 percent of its value along the way. That should be a warning to other industries standing in the cellphone's path.",The Smartphone Makes and Breaks,0
960,"Given the craze around the iPhone, Motorola Droid, Palm Pre and Nexus One, it might seem that nearly everyone has a smartphone. But most consumers use simpler, much cheaper phones.",Giving Your Phone More Oomph,0
962,"WRUBEL--George Jay, loving husband, father, father-in-law and grandfather. Dr. Wrubel graduated from Union College, subsequently earning a DDS degree from New York University College of Dentistry. He also completed a Post Graduate Periodontics Program at Veterans Administration Hospital and served as a Captain in the United States Army. Dr. Wrubel was a tireless educator, mentoring numerous students in Periodontics for nearly 48 years at New York University College of Dentistry as well as at Staten Island Hospital, and Seaview Hospital. Additionally, Dr. Wrubel maintained his own private practice in Staten Island, New York for nearly 46 years. He served as the President of the New York section of the American Academy of Oral Medicine and was elected president of the Richmond County Dental Society. He is a Fellow of the American College of Dentists and was also an active member of both the Northeast Society of Periodontics as well as the American Academy of Periodontology. Dr. Wrubel was a former president and member of Congregation B'nai Jeshrun of Staten Island, and also worshipped at Sutton Place Synagogue in Manhattan and Conservative Synagogue Adath Israel of Riverdale, NY. He is survived by his wife of 47 years, Evelyn Wrubel of Riverdale, NY; his children, Dr. Lee Wrubel and his wife, Michele Wrubel of Westport, CT; Austin Wrubel and his partner Prithvi Kumar of Manhattan and Hartsdale, NY; and Eric Wrubel and his partner Paul Toth of Chappaqua, NY; and his beloved grandchildren, Alec, Brooke, and Olivia. A memorial service will be held at Riverside Memorial Chapel, Manhattan on Tuesday, January 5 with burial at Baron Hirsch Cemetery, Staten Island. Shiva will be held in both Riverdale, NY and Westport, CT. Dr. Wrubel will be deeply missed by his family, colleagues, patients, friends and all who had the good fortune to have known him.","Paid Notice: Deaths  WRUBEL, GEORGE JAY",0
964,"<!-- SANDRA  GLAH -->GLAH--Sandra Anne, 69, of Riverside, CT, passed away peacefully on January 1, 2010 after a four year battle with cancer. Sandy was the daughter of the late Omar and Sarah Shake. She attended Northwestern University. A loving and dedicated wife of 50 years to Roy A. Glah. Beloved mother to four children and six grandchildren. A private family service will be held at St. Paul's Church in Riverside, CT.<br><br>
 ","Paid Notice: Deaths  GLAH, SANDRA ",0
965,"<!-- RONALD  GARBER -->GARBER--Dr. Ronald, beloved husband of Joy Sonders, died on December 31, 2009 after a long illness. He will be remembered for his kindness, his love of adventure, his intelligence, his humor and his tenacious will to survive. Services will be held 9:30am on Wednesday, January 6, 2010 at ""The Riverside"", 76th St. at Amsterdam Ave.<br><br>
 ","Paid Notice: Deaths  GARBER, RONALD ",0
967,"A view of the day in sports, with snow everywhere, including on the football field.",Photo Replay: Jan. 3 ,0
968,"Almost every magazine reported a drop in advertising pages in 2009. Those that had the largest drop were magazines aimed at the upscale market. By contrast, Family Circle gained in pages.",Popular Demand: Magazines in 2009 Most Wanted,0
969,"Cecilia Oliver was having a problem with her lover and needed some help. ''He's being resistant,'' she explained. ''I want where he's submissive to me at all times.'' She had come to the Original Products Company, a Bronx emporium where she had heard she could buy the ingredients for a magic charm to put under the insole of her shoe.","At a Botanica, New Year Means Renewal, and Jinx Removal",0
970,"The first politician to announce a possible primary challenge to Gov. David A. Paterson is a well-financed, conservative Democrat -- and his last name is not Cuomo. On Sunday, Steve Levy, the popular Suffolk County executive who is best known outside Long Island for his opposition to illegal immigration, announced that he was formally considering a run for governor.",Suffolk County Executive Weighing Primary Challenge to Paterson,0
971,"Multitouch screens have been a little slower to enter the electronics marketplace than consumers might have hoped. Since Jeff Han presented his multitouch wall at the Technology, Entertainment and Design conference in 2006, we have seen the technology appear in the iPhone, some Android-based smartphones and Hewlett-Packard's TouchSmart countertop computer, but other appearances in consumer electronics have been rare. That might all change soon. Ilya Rosenberg, Ken Perlin and a small team of computer scientists from New York University's Media Research Lab hope to bring a new kind of multitouch to items as diverse as new e-readers and musical instruments with their new company, Touchco.",New Multitouch Screens in the Works,0
972,"The Iraqi government may be close to a deal with those who took five British men hostage in 2007 that will finally clarify the fate of the last of them, a government spokesman said Sunday. The remains of three were recovered last year; the fourth, Peter Moore, was released alive last week. The British government has long thought the last man, Alan McMenemy, is also dead and has pressed for the return of his remains.",Iraq Says Deal Is Near On the Last Of 5 Hostages,0
973,"JAY CUTLER The Bears quarterback, left, matched a career high for the second week in a row with four touchdown passes. He was 22 of 36 passing for 276 yards and was not intercepted. FRED JACKSON The Bills running back had 212 yards rushing, the seventh-highest total in team history, to reach 1,000 yards for the first time in his career. He also scored on an 11-yard catch.",Day's Best,0
974,"The Dallas Cowboys erased a reputation of late-season flops and maligned performances Sunday, capturing the National Football Conference East title with a 24-0 victory over the Philadelphia Eagles at Cowboys Stadium. Dallas's win set up a rematch against Philadelphia in the wild-card round of the playoffs here Saturday night, with the Cowboys as the No. 3 seed, the Eagles as No. 6. Dallas can certainly enter the postseason claiming it is the hottest team in the conference, even in the wake of the Vikings' dismantling of the Giants.",Dallas Carries the N.F.C. East Title and Big Momentum Into the Playoffs,0
975,"ANDROS--Gus. You are an icon in the dance world. Dear friend, I shall miss you and love you. Joan Nabatoff","Paid Notice: Deaths  ANDROS, GUS",0
977,"Last year about this time, I was talking with an executive from Apple about e-readers and print at a conference we were both attending, much of it in the context of the mainstream media's original sin of giving away content if people happened to be reading it in digital form. As we chatted casually over drinks -- he wasn't on the record and wouldn't be even if it would end world hunger, because he works at Apple -- I told him that a workable tablet that featured content that could be priced and sold as an app would fix some of what ailed print. ''What the world is waiting for,'' I keened, ''is a lightweight device that has a backlit, four-color screen big enough to comfortably read on with touch navigation and a wireless connection.''",A Savior In the Form Of a Tablet,0
978,"KATTAN--Daisy, beloved wife of Sami; devoted mother to Bianca (Robert) and Jack (Laura); adoring grandmother of Noah, Cole, Kyle and Kate. A kind woman with a big heart who opened her home to everyone and bestowed unconditional love to her family. Services today, 10am, Riverside Nassau North, Great Neck.","Paid Notice: Deaths  KATTAN, DAISY",0
979,"The man accused of fatally stabbing a 9-year-old boy in an Upper Manhattan apartment over the weekend has suffered from schizophrenia for many years and was paroled from prison in May after serving five years for assault, according to family members and the police. The man, Alejandro Morales, 25, who was admitted to Bellevue Hospital Center on Sunday, first told investigators that intruders had tried to break into the apartment to rob him and said nothing about the boy, Anthony Maldonado of Palisades Park, N.J., according to a law enforcement official with direct knowledge of the case. Mr. Morales's story shifted a few more times before he admitted that he stabbed the boy, the official said.","Parolee Held in Boy's Killing Was Mentally Ill, Mother Says",0
980,Flights out of one terminal at Newark Liberty International Airport were temporarily halted as officials investigated a possible security breach.,Security Scare at Newark Airport ,0
981,"The White Horse Theater Company will be staging Tennessee Williams's ''Clothes for a Summer Hotel,'' which depicts an ethereal meeting between the restless ghosts of F. Scott Fitzgerald and his wife, Zelda. Performances begin Feb. 5 at the Hudson Guild Theater and run through Feb. 21. The Feb. 14 show will be followed by a discussion with Nancy Milford, author of the biography ''Zelda.'' ... Theater for the New City will hold its seventh annual ''Love 'n' Courage Gala'' on Feb. 22 at the National Arts Club in Manhattan, this year honoring the acting couple Eli Wallach, above right, and Anne Jackson, above left, as well as Martha Coigney, director of the International Theater Institute. The actor and playwrightCharles Busch will host the event, which will include appearances by Laura Linney, Romulus Linney, Marian Seldes, Elaine Stritch, Tammy Grimesand F. Murray Abraham, among others.",In The Wings,0
982,"Early versions of the Senate's far-reaching health care bill said that small businesses with fewer than 50 workers would not be penalized if they failed to provide insurance. That was before labor unions in the construction industry went to work and persuaded Senate leaders to insert five paragraphs. Their provision, added to the 2,074-page bill at the last minute, singles out the construction industry for special treatment, in a way that benefits union members and contractors who use union labor.","In Health Bill For Everyone, Provisions For a Few",0
